,business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_phone_number,inspection_date,inspection_score,risks
0,69769,Whole Foods Market,1150 Ocean Ave,94112,37.723652,-122.45461,14155337400,7/25/18,90,"Unapproved or unmaintained equipment or utensils, Low risk vermin infestation, Wiping cloths not clean or properly stored or inadequate sanitizer, Moderate risk food holding temperature"
4,27377,Sorabol,845 Market St FC-3,94103,37.784848,-122.406892,14155775959,5/14/18,87,"High risk food holding temperature, Inadequately cleaned or sanitized food contact surfaces, Unclean or degraded floors walls or ceilings"
7,32586,Terroir,81 Langton St,94103,37.776494,-122.40856200000002,14155718949,9/6/16,96,"Unapproved or unmaintained equipment or utensils, Permit license or inspection report not posted"
9,70685,5 Degree Tea House,2527 SAN BRUNO Ave,94134,37.729753,-122.40446999999999,14155828233,12/12/17,86,"Inadequate and inaccessible handwashing facilities, Inadequately cleaned or sanitized food contact surfaces, Moderate risk vermin infestation, Unclean or degraded floors walls or ceilings"
13,62578,New Chef Hung's Restaurant,823 Clay St,94108,37.794193,-122.406677,14155396883,12/7/17,66,"Improper storage of equipment utensils or linens, Improper food labeling or menu misrepresentation, Unclean or degraded floors walls or ceilings, Insufficient hot water or running water, Improper thawing methods, Inadequate and inaccessible handwashing facilities, Inadequate food safety knowledge or lack of certified food safety manager, Inadequately cleaned or sanitized food contact surfaces, Foods not protected from contamination, Moderate risk vermin infestation"
23,5219,SALVATION ARMY GATEWAY,407 09th St,94103,37.772473,-122.409879,14155256100,5/11/18,94,"Improper food storage, Moderate risk vermin infestation"
25,59002,Yummy Bakery & Restaurant,607 Jackson St,94133,37.796152,-122.40525500000001,14155988388,5/15/18,92,"Improper storage use or identification of toxic substances, Improper food storage, Food safety certificate or food handler card not available, Low risk vermin infestation"
29,2061,ATAMI SUSHI BAR & GRILL,1662 LOMBARD St,94123,37.800788,-122.428894,14155611958,2/23/18,94,"Foods not protected from contamination, Wiping cloths not clean or properly stored or inadequate sanitizer"
31,68773,Nopalito,1224 9th Ave,94122,37.765412,-122.466375,14155430303,2/14/18,90,"Improper food storage, Low risk vermin infestation, Unclean or degraded floors walls or ceilings, Employee eating or smoking"
35,4797,"Good Life Grocery, The",448 CORTLAND Ave,94110,37.739053000000006,-122.416683,14155643221,11/30/17,86,"Improper thawing methods, Moderate risk food holding temperature, Improper food storage, Moderate risk vermin infestation"
39,19416,Starbucks,865 Market St C26,94103,37.784317,-122.40756299999998,14155604908,7/18/18,96,"Unclean or degraded floors walls or ceilings, Inadequate dressing rooms or improper storage of personal items"
41,7744,SAFEWAY #759,625 MONTEREY Blvd,94127,37.731522999999996,-122.45005,14155582421,8/9/16,98,Unapproved or unmaintained equipment or utensils
42,32671,La Taqueria Guadalajara,3146 24th St,94110,37.752512,-122.41510900000002,14155644892,5/8/18,75,"Unclean or degraded floors walls or ceilings, Moderate risk food holding temperature, Permit license or inspection report not posted, Inadequately cleaned or sanitized food contact surfaces, Improper cooling methods, Foods not protected from contamination, Unclean nonfood contact surfaces"
49,3267,The Olive Garden Italian,3251 20th Ave,94132,37.728497,-122.47563899999999,14155666770,5/10/18,83,"Inadequate ventilation or lighting, Contaminated or adulterated food, Moderate risk food holding temperature, Unclean or degraded floors walls or ceilings, Unapproved or unmaintained equipment or utensils"
54,4917,LA VICTORIA BAKERY,2937 24th St,94110,37.752373,-122.410876,14155647120,9/6/16,78,"Unclean nonfood contact surfaces, Unclean or degraded floors walls or ceilings, Permit license or inspection report not posted, Inadequate and inaccessible handwashing facilities, Foods not protected from contamination, Unapproved or unmaintained equipment or utensils, Improper or defective plumbing, Moderate risk vermin infestation"
62,2542,PETER D'S RESTAURANT,2201 Van Ness St,94109,37.795993,-122.423585,14155778505,12/8/17,65,"Inadequate food safety knowledge or lack of certified food safety manager, High risk food holding temperature, Unclean hands or improper use of gloves, Improper storage use or identification of toxic substances, High risk vermin infestation, Inadequately cleaned or sanitized food contact surfaces, Permit license or inspection report not posted, Inadequate warewashing facilities or equipment"
70,4702,SHUFAT MARKET,3807 24th St,94114,37.751664,-122.42768799999999,14155826207,2/26/18,96,Moderate risk vermin infestation
71,2134,"CHIEFTAIN IRISH PUB, THE",198 05th St,94103,37.781566999999995,-122.40505900000001,14155610916,12/11/17,87,"High risk food holding temperature, Unclean or degraded floors walls or ceilings, Noncompliance with HAACP plan or variance"
74,5824,S.F. International High School,1050 YORK St,94110,37.755257,-122.408455,14155695780,2/27/18,92,"Inadequate food safety knowledge or lack of certified food safety manager, Moderate risk food holding temperature"
76,7755,ARIZMENDI BAKERY,1331 09th Ave,94122,37.763448,-122.46634399999999,14155563117,9/4/18,92,"Wiping cloths not clean or properly stored or inadequate sanitizer, Inadequate procedures or records for time as a public health control, Unclean or degraded floors walls or ceilings"
79,69792,Samiramis Imports,2990 MISSION St,94110,37.74923,-122.418224,14155826555,4/12/16,88,"Non service animal, Improper food storage, Foods not protected from contamination, Inadequate and inaccessible handwashing facilities"
83,33160,Mission Bay Cafe,550 Terry Francois St,94158,37.770518,-122.386525,14155831002,12/5/16,94,"No plan review or Building Permit, Moderate risk food holding temperature"
85,5999,The Salvation Army,1156 Valencia St,94110,37.754397,-122.420915,14155640260,7/24/18,90,"Inadequately cleaned or sanitized food contact surfaces, Food safety certificate or food handler card not available, Moderate risk vermin infestation"
88,2638,SF BAGEL CO. (KATZ BAGELS),3147 16th St,94103,37.764814,-122.42308899999999,14155559050,8/30/18,86,"Unapproved or unmaintained equipment or utensils, Foods not protected from contamination, Moderate risk vermin infestation, Permit license or inspection report not posted, Food safety certificate or food handler card not available"
